perturbation_type,intensity,macro_f1
casing,0.05,0.644921347466898
casing,0.1,0.6451628513640824
casing,0.2,0.6440138841550828
elongation,0.05,0.6345524192279952
elongation,0.1,0.6388444520894853
elongation,0.2,0.6256439456209975
slang,0.05,0.6417928008302702
slang,0.1,0.6394114755729396
slang,0.2,0.6371397968145458
typo,0.05,0.6177282689220891
typo,0.1,0.5992592781055893
typo,0.2,0.5380975945222212
umlaut,0.05,0.6429792108506129
umlaut,0.1,0.6420158329903779
umlaut,0.2,0.6390317770187023
